timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645086420392,1101,instant_token,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,472,361,1,1,https://www.bjbsoft.com/auth-node/instant_token,1101,0,824
1645086422272,305,auth-node/login,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,12976,880,1,1,https://www.bjbsoft.com/auth-node/login,305,0,0
1645086423145,288,loginsettings,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,667,810,1,1,https://www.bjbsoft.com/auth-node/loginsettings,288,0,0
1645086424430,296,user/ispatient,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,395,820,1,1,https://www.bjbsoft.com/ums-node/user/ispatient,296,0,0
1645086425331,283,service_auth_token,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,889,420,1,1,https://www.bjbsoft.com/auth-node/service_auth_token,283,0,0
1645086426309,296,servicesidebarlinks,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,1149,837,1,1,https://www.bjbsoft.com/auth-node/servicesidebarlinks,296,0,0
1645086427360,278,getStorage,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,580,765,1,1,https://www.bjbsoft.com/inv-node/common/getStorage,278,0,0
1645086428366,279,invoiceprofile_details-1,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,1084,808,1,1,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645086429607,704,dashboard/details/,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,38948,799,2,2,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,702,0,0
1645086430059,1101,instant_token,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,472,361,2,2,https://www.bjbsoft.com/auth-node/instant_token,1101,0,824
1645086431285,280,invoice_subservices,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,715,801,2,2,https://www.bjbsoft.com/inv-node/common/invoice_subservices,280,0,0
1645086431804,306,auth-node/login,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,9136,879,2,2,https://www.bjbsoft.com/auth-node/login,306,0,0
1645086432256,279,paycycle_type,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,542,779,2,2,https://www.bjbsoft.com/inv-node/common/paycycle_type,279,0,0
1645086432694,288,loginsettings,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,673,809,2,2,https://www.bjbsoft.com/auth-node/loginsettings,288,0,0
1645086433505,314,generated_invoices-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,321,926,2,2,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,314,0,0
1645086433607,289,user/ispatient,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,395,822,2,2,https://www.bjbsoft.com/ums-node/user/ispatient,289,0,0
1645086434450,280,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,1084,832,2,2,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,280,0,0
1645086434892,279,service_auth_token,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,891,420,2,2,https://www.bjbsoft.com/auth-node/service_auth_token,279,0,0
1645086435645,337,user/eligibility/-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,10069,844,2,2,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,337,0,0
1645086435886,292,servicesidebarlinks,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,1149,839,2,2,https://www.bjbsoft.com/auth-node/servicesidebarlinks,292,0,0
1645086436691,279,getStorage,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,580,767,2,2,https://www.bjbsoft.com/inv-node/common/getStorage,279,0,0
1645086436890,278,get_shift_rules-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,321,840,2,2,https://www.bjbsoft.com/inv-node/rm/entry/get_shift_rules,278,0,0
1645086437831,279,invoiceprofile_details-1,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,1138,810,2,2,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645086437948,278,get_timestamp_next_timestamp-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,368,826,2,2,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp,278,0,0
1645086438835,776,dashboard/details/,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,34833,801,3,3,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,774,0,0
1645086440169,279,invoice_subservices,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,715,803,3,3,https://www.bjbsoft.com/inv-node/common/invoice_subservices,279,0,0
1645086439100,1583,rm/user/details/-current-month,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,58253,958,3,3,https://www.bjbsoft.com/inv-node/rm/user/details/,1311,0,0
1645086441074,279,paycycle_type,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,542,781,3,3,https://www.bjbsoft.com/inv-node/common/paycycle_type,279,0,0
1645086440420,1122,instant_token,200,OK,[TG] INVOICE - 10 Users 1-3,text,true,,472,361,3,3,https://www.bjbsoft.com/auth-node/instant_token,1122,0,841
1645086441300,283,get_timestamp_next_timestamp_between_dates,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,1973,840,3,3,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp_between_dates,283,0,0
1645086442217,317,generated_invoices-current-month,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,321,928,3,3,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,317,0,0
1645086442288,284,/superannuationRules,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,337,909,3,3,https://www.bjbsoft.com/inv-node/rm/rules/superannuationRules,284,0,0
1645086442498,328,auth-node/login,200,OK,[TG] INVOICE - 10 Users 1-3,text,true,,9800,877,3,3,https://www.bjbsoft.com/auth-node/login,328,0,0
1645086443238,286,rm/rules/,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,1509,1009,3,3,https://www.bjbsoft.com/inv-node/rm/rules/,286,0,0
