timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645091316265,1613,instant_token,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,472,361,1,1,https://www.bjbsoft.com/auth-node/instant_token,1613,0,1327
1645091319111,307,auth-node/login,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,12976,880,1,1,https://www.bjbsoft.com/auth-node/login,307,0,0
1645091320718,287,loginsettings,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,667,810,1,1,https://www.bjbsoft.com/auth-node/loginsettings,287,0,0
1645091322464,332,user/ispatient,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,395,820,2,2,https://www.bjbsoft.com/ums-node/user/ispatient,332,0,0
1645091323920,289,service_auth_token,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,889,420,2,2,https://www.bjbsoft.com/auth-node/service_auth_token,289,0,0
1645091323465,1126,instant_token,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,472,361,2,2,https://www.bjbsoft.com/auth-node/instant_token,1126,0,842
1645091325461,292,servicesidebarlinks,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,1149,837,2,2,https://www.bjbsoft.com/auth-node/servicesidebarlinks,292,0,0
1645091326059,306,auth-node/login,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,9136,879,2,2,https://www.bjbsoft.com/auth-node/login,306,0,0
1645091327178,279,getStorage,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,580,765,2,2,https://www.bjbsoft.com/inv-node/common/getStorage,279,0,0
1645091327471,289,loginsettings,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,673,809,2,2,https://www.bjbsoft.com/auth-node/loginsettings,289,0,0
1645091328754,282,invoiceprofile_details-1,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,1084,808,2,2,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,281,0,0
1645091328981,298,user/ispatient,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,395,822,2,2,https://www.bjbsoft.com/ums-node/user/ispatient,298,0,0
1645091330469,282,service_auth_token,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,891,420,3,3,https://www.bjbsoft.com/auth-node/service_auth_token,282,0,0
1645091330222,760,dashboard/details/,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,38948,799,3,3,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,488,0,0
1645091330955,1102,instant_token,200,OK,[TG] INVOICE - 80 Users 1-3,text,true,,472,361,3,3,https://www.bjbsoft.com/auth-node/instant_token,1101,0,826
1645091331956,293,servicesidebarlinks,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,1149,839,3,3,https://www.bjbsoft.com/auth-node/servicesidebarlinks,292,0,0
1645091332351,279,invoice_subservices,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,717,801,3,3,https://www.bjbsoft.com/inv-node/common/invoice_subservices,279,0,0
1645091333205,304,auth-node/login,200,OK,[TG] INVOICE - 80 Users 1-3,text,true,,9800,877,3,3,https://www.bjbsoft.com/auth-node/login,304,0,0
1645091333405,279,getStorage,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,580,767,3,3,https://www.bjbsoft.com/inv-node/common/getStorage,279,0,0
1645091334004,278,paycycle_type,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,542,779,3,3,https://www.bjbsoft.com/inv-node/common/paycycle_type,278,0,0
1645091334966,291,loginsettings,200,OK,[TG] INVOICE - 80 Users 1-3,text,true,,668,807,3,3,https://www.bjbsoft.com/auth-node/loginsettings,291,0,0
1645091334989,279,invoiceprofile_details-1,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,1138,810,3,3,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645091335323,359,generated_invoices-current-month,200,OK,[TG] INVOICE - 80 Users 1-1,text,true,,321,926,3,3,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,359,0,0
1645091336659,290,user/ispatient,200,OK,[TG] INVOICE - 80 Users 1-3,text,true,,395,814,3,3,https://www.bjbsoft.com/ums-node/user/ispatient,290,0,0
1645091336428,650,dashboard/details/,200,OK,[TG] INVOICE - 80 Users 1-2,text,true,,34833,801,3,3,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,649,0,0
