timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645088302635,1106,instant_token,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,472,361,1,1,https://www.bjbsoft.com/auth-node/instant_token,1106,0,824
1645088305079,309,auth-node/login,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,12976,880,1,1,https://www.bjbsoft.com/auth-node/login,309,0,0
1645088306665,290,loginsettings,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,667,810,1,1,https://www.bjbsoft.com/auth-node/loginsettings,289,0,0
1645088308018,294,user/ispatient,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,395,820,1,1,https://www.bjbsoft.com/ums-node/user/ispatient,294,0,0
1645088309383,279,service_auth_token,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,889,420,1,1,https://www.bjbsoft.com/auth-node/service_auth_token,279,0,0
1645088311001,289,servicesidebarlinks,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1149,837,1,1,https://www.bjbsoft.com/auth-node/servicesidebarlinks,289,0,0
1645088312497,278,getStorage,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,580,765,2,2,https://www.bjbsoft.com/inv-node/common/getStorage,278,0,0
1645088312813,1102,instant_token,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,472,361,2,2,https://www.bjbsoft.com/auth-node/instant_token,1102,0,824
1645088314198,279,invoiceprofile_details-1,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1084,808,2,2,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645088315076,305,auth-node/login,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,9136,879,2,2,https://www.bjbsoft.com/auth-node/login,305,0,0
1645088315773,660,dashboard/details/,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,38948,799,2,2,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,659,0,0
1645088316720,289,loginsettings,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,673,809,2,2,https://www.bjbsoft.com/auth-node/loginsettings,289,0,0
1645088317582,279,invoice_subservices,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,717,801,2,2,https://www.bjbsoft.com/inv-node/common/invoice_subservices,279,0,0
1645088318352,295,user/ispatient,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,395,822,2,2,https://www.bjbsoft.com/ums-node/user/ispatient,295,0,0
1645088319086,279,paycycle_type,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,542,779,2,2,https://www.bjbsoft.com/inv-node/common/paycycle_type,279,0,0
1645088320062,280,service_auth_token,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,891,420,2,2,https://www.bjbsoft.com/auth-node/service_auth_token,280,0,0
1645088320563,317,generated_invoices-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,926,2,2,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,317,0,0
1645088321709,287,servicesidebarlinks,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,1149,839,3,3,https://www.bjbsoft.com/auth-node/servicesidebarlinks,287,0,0
1645088322213,279,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1084,832,3,3,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645088323011,279,getStorage,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,580,767,3,3,https://www.bjbsoft.com/inv-node/common/getStorage,279,0,0
1645088322836,1098,instant_token,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,472,361,3,3,https://www.bjbsoft.com/auth-node/instant_token,1098,0,822
1645088323832,299,user/eligibility/-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,10069,844,3,3,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,299,0,0
1645088324766,279,invoiceprofile_details-1,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,1138,810,3,3,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645088325217,326,auth-node/login,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,9800,877,3,3,https://www.bjbsoft.com/auth-node/login,326,0,0
1645088325526,279,get_shift_rules-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,840,3,3,https://www.bjbsoft.com/inv-node/rm/entry/get_shift_rules,279,0,0
1645088326250,650,dashboard/details/,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,34833,801,3,3,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,649,0,0
1645088326823,287,loginsettings,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,668,807,3,3,https://www.bjbsoft.com/auth-node/loginsettings,287,0,0
1645088327160,278,get_timestamp_next_timestamp-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,368,826,3,3,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp,278,0,0
1645088328307,279,invoice_subservices,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,717,803,3,3,https://www.bjbsoft.com/inv-node/common/invoice_subservices,279,0,0
1645088328581,299,user/ispatient,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,395,814,3,3,https://www.bjbsoft.com/ums-node/user/ispatient,299,0,0
1645088329915,279,paycycle_type,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,542,781,3,3,https://www.bjbsoft.com/inv-node/common/paycycle_type,279,0,0
1645088330168,278,service_auth_token,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,888,420,3,3,https://www.bjbsoft.com/auth-node/service_auth_token,278,0,0
1645088328900,1653,rm/user/details/-current-month,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,69599,958,3,3,https://www.bjbsoft.com/inv-node/rm/user/details/,1380,0,0
1645088331409,328,generated_invoices-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,321,928,4,4,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,328,0,0
1645088331553,288,servicesidebarlinks,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,1149,836,4,4,https://www.bjbsoft.com/auth-node/servicesidebarlinks,288,0,0
1645088331824,281,get_timestamp_next_timestamp_between_dates,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1973,840,4,4,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp_between_dates,280,0,0
1645088333040,281,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,1138,834,4,4,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,281,0,0
1645088333159,279,getStorage,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,580,764,4,4,https://www.bjbsoft.com/inv-node/common/getStorage,279,0,0
1645088333283,281,/superannuationRules,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,337,909,4,4,https://www.bjbsoft.com/inv-node/rm/rules/superannuationRules,281,0,0
1645088332622,1132,instant_token,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,472,361,4,4,https://www.bjbsoft.com/auth-node/instant_token,1132,0,853
1645088334493,297,user/eligibility/-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,6951,846,4,4,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,297,0,0
1645088334693,280,invoiceprofile_details-1,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,1096,807,4,4,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,280,0,0
1645088334708,301,rm/rules/,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1509,1009,4,4,https://www.bjbsoft.com/inv-node/rm/rules/,301,0,0
1645088335079,323,auth-node/login,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,9361,880,4,4,https://www.bjbsoft.com/auth-node/login,323,0,0
1645088335998,280,get_shift_rules-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,321,842,4,4,https://www.bjbsoft.com/inv-node/rm/entry/get_shift_rules,280,0,0
1645088336093,279,sc_md/sc_get,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,853,4,4,https://www.bjbsoft.com/inv-node/rm/sessional/sc_md/sc_get,279,0,0
1645088336458,292,loginsettings,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,671,810,4,4,https://www.bjbsoft.com/auth-node/loginsettings,292,0,0
1645088336252,1006,dashboard/details/,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,55131,798,4,4,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,734,0,0
1645088337422,281,/existing_entry_items,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,854,4,4,https://www.bjbsoft.com/inv-node/rm/entry/existing_entry_items,281,0,0
1645088337565,280,get_timestamp_next_timestamp-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,368,828,4,4,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp,280,0,0
1645088337926,297,user/ispatient,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,395,820,4,4,https://www.bjbsoft.com/ums-node/user/ispatient,297,0,0
1645088338718,278,invoice_subservices,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,715,800,4,4,https://www.bjbsoft.com/inv-node/common/invoice_subservices,278,0,0
1645088338990,554,doc_entry_items,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,16641,885,4,4,https://www.bjbsoft.com/inv-node/rm/entry/doc_entry_items,554,0,0
1645088339376,283,service_auth_token,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,889,420,4,4,https://www.bjbsoft.com/auth-node/service_auth_token,283,0,0
1645088339086,1335,rm/user/details/-current-month,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,54275,960,4,4,https://www.bjbsoft.com/inv-node/rm/user/details/,1055,0,0
1645088340284,291,paycycle_type,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,542,778,4,4,https://www.bjbsoft.com/inv-node/common/paycycle_type,291,0,0
1645088340940,460,rm/wp/,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,1072,4,4,https://www.bjbsoft.com/inv-node/rm/wp/,460,0,0
1645088341011,399,servicesidebarlinks,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,1149,837,4,4,https://www.bjbsoft.com/auth-node/servicesidebarlinks,399,0,0
1645088341553,286,get_timestamp_next_timestamp_between_dates,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,1973,842,5,5,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp_between_dates,286,0,0
1645088342034,367,generated_invoices-current-month,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,321,925,5,5,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,367,0,0
1645088342797,283,getStorage,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,580,765,5,5,https://www.bjbsoft.com/inv-node/common/getStorage,283,0,0
1645088342867,283,existing_entry_items-1,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,321,866,5,5,https://www.bjbsoft.com/inv-node/rm/entry/existing_entry_items,283,0,0
1645088343172,281,/superannuationRules,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,337,911,5,5,https://www.bjbsoft.com/inv-node/rm/rules/superannuationRules,281,0,0
1645088342616,1177,instant_token,200,OK,[TG] INVOICE - 20 Users 1-5,text,true,,472,361,5,5,https://www.bjbsoft.com/auth-node/instant_token,1176,0,895
1645088343690,280,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,1096,831,5,5,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,280,0,0
1645088344184,294,/rm/rules/-1,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1509,1009,5,5,https://www.bjbsoft.com/inv-node/rm/rules/,294,0,0
1645088344274,283,invoiceprofile_details-1,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,1118,808,5,5,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,283,0,0
1645088344888,292,rm/rules/,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,1509,1011,5,5,https://www.bjbsoft.com/inv-node/rm/rules/,292,0,0
1645088345165,306,auth-node/login,200,OK,[TG] INVOICE - 20 Users 1-5,text,true,,8245,879,5,5,https://www.bjbsoft.com/auth-node/login,306,0,0
1645088345439,380,user/eligibility/-current-month,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,6951,843,5,5,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,380,0,0
1645088345792,603,get_admno_mrno_search_details,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1634,910,5,5,https://www.bjbsoft.com/inv-node/generation/entry/get_admno_mrno_search_details,603,0,0
1645088346473,284,sc_md/sc_get,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,321,855,5,5,https://www.bjbsoft.com/inv-node/rm/sessional/sc_md/sc_get,284,0,0
1645088345790,1001,dashboard/details/,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,42087,799,5,5,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,727,0,0
1645088346821,295,loginsettings,200,OK,[TG] INVOICE - 20 Users 1-5,text,true,,669,809,5,5,https://www.bjbsoft.com/auth-node/loginsettings,295,0,0
1645088347316,279,get_shift_rules-current-month,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,321,839,5,5,https://www.bjbsoft.com/inv-node/rm/entry/get_shift_rules,279,0,0
1645088347657,285,rates/,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1098,1022,5,5,https://www.bjbsoft.com/inv-node/rm/rates/,285,0,0
1645088347890,408,/existing_entry_items,200,OK,[TG] INVOICE - 20 Users 1-2,text,true,,2143,856,5,5,https://www.bjbsoft.com/inv-node/rm/entry/existing_entry_items,408,0,0
1645088348237,283,invoice_subservices,200,OK,[TG] INVOICE - 20 Users 1-4,text,true,,717,801,5,5,https://www.bjbsoft.com/inv-node/common/invoice_subservices,283,0,0
1645088348248,286,user/ispatient,200,OK,[TG] INVOICE - 20 Users 1-5,text,true,,395,822,5,5,https://www.bjbsoft.com/ums-node/user/ispatient,286,0,0
1645088348746,278,get_timestamp_next_timestamp-current-month,200,OK,[TG] INVOICE - 20 Users 1-3,text,true,,368,825,5,5,https://www.bjbsoft.com/inv-node/rm/entry/get_timestamp_next_timestamp,278,0,0
1645088348952,288,rm/rates/,200,OK,[TG] INVOICE - 20 Users 1-1,text,true,,1192,1022,5,5,https://www.bjbsoft.com/inv-node/rm/rates/,288,0,0
1645088349698,283,service_auth_token,200,OK,[TG] INVOICE - 20 Users 1-5,text,true,,810,420,5,5,https://www.bjbsoft.com/auth-node/service_auth_token,283,0,0
