Item Number,Derived Item,Is New,Added On,Is Deleted,Deleted On,MBS Fee,CPI Rate,CPI MBS Fee
3,,-,-,-,-,17.2,13.1408,19.46
4,Yes,-,-,-,-,0,0,0
20,Yes,-,-,Yes,01-03-2019,0,0,0
23,,-,-,-,-,37.6,13.1408,42.54
24,Yes,-,-,-,-,0,0,0
35,Yes,-,-,Yes,01-03-2019,0,0,0
36,,-,-,-,-,72.8,13.1408,82.37
37,Yes,-,-,-,-,0,0,0
43,Yes,-,-,Yes,01-03-2019,0,0,0
44,,-,-,-,-,107.15,13.1408,121.23
47,Yes,-,-,-,-,0,0,0
51,Yes,-,-,Yes,01-03-2019,0,0,0
52,,-,-,-,-,11,0,11
53,,-,-,-,-,21,0,21
54,,-,-,-,-,38,0,38
57,,-,-,-,-,61,0,61
58,Yes,-,-,-,-,0,0,0
59,Yes,-,-,-,-,0,0,0
60,Yes,-,-,-,-,0,0,0
65,Yes,-,-,-,-,0,0,0
92,Yes,-,-,Yes,01-03-2019,0,0,0
93,Yes,-,-,Yes,01-03-2019,0,0,0
95,Yes,-,-,Yes,01-03-2019,0,0,0
96,Yes,-,-,Yes,01-03-2019,0,0,0
99,Yes,-,-,Yes,01-01-2022,0,0,0
104,,-,-,-,-,86.85,13.1408,98.26
105,,-,-,-,-,43.65,13.1408,49.39
106,,-,-,-,-,72.05,13.1408,81.52
107,,-,-,-,-,127.4,13.1408,144.14
108,,-,-,-,-,80.65,13.1408,91.25
109,,-,-,-,-,195.7,13.1408,221.42
110,,-,-,-,-,153.15,13.1408,173.27
111,,-,-,-,-,43.65,13.1408,49.39
112,Yes,-,-,Yes,01-01-2022,0,0,0
113,,-,-,Yes,01-01-2022,65.15,13.1408,73.71
114,,-,-,Yes,01-01-2022,114.9,13.1408,130
115,,Yes,01-04-2019,-,-,44.35,2.5,45.46
116,,-,-,-,-,76.65,13.1408,86.72
117,,-,-,-,-,76.65,13.1408,86.72
119,,-,-,-,-,43.65,13.1408,49.39
120,,-,-,-,-,43.65,13.1408,49.39
122,,-,-,-,-,185.85,13.1408,210.27
128,,-,-,-,-,112.4,13.1408,127.17
131,,-,-,-,-,80.95,13.1408,91.59
132,,-,-,-,-,267.85,13.1408,303.05
133,,-,-,-,-,134.1,13.1408,151.72
135,,-,-,-,-,267.85,13.1408,303.05
137,,-,-,-,-,267.85,13.1408,303.05
139,,-,-,-,-,134.5,13.1408,152.17
141,,-,-,-,-,459.45,13.1408,519.83
143,,-,-,-,-,287.2,13.1408,324.94
145,,-,-,-,-,557.1,13.1408,630.31
147,,-,-,-,-,348.25,13.1408,394.01
149,Yes,-,-,Yes,01-01-2022,0,0,0
160,,-,-,-,-,221.5,13.1408,250.61
161,,-,-,-,-,369.15,13.1408,417.66
162,,-,-,-,-,516.65,13.1408,584.54
163,,-,-,-,-,664.55,13.1408,751.88
164,,-,-,-,-,738.4,13.1408,835.43
170,,-,-,-,-,117.55,13.1408,133
171,,-,-,-,-,123.85,13.1408,140.13
172,,-,-,-,-,150.7,13.1408,170.5
173,,-,-,Yes,01-11-2022,21.65,0,21.65
177,,Yes,01-04-2019,-,-,60.05,2.5,61.55
179,,-,-,-,-,13.75,13.1408,15.56
181,Yes,-,-,-,-,0,0,0
183,Yes,-,-,Yes,01-03-2019,0,0,0
185,,-,-,-,-,30.1,13.1408,34.06
187,Yes,-,-,-,-,0,0,0
188,Yes,-,-,Yes,01-03-2019,0,0,0
189,,-,-,-,-,58.25,13.1408,65.9
191,Yes,-,-,-,-,0,0,0
193,,-,-,-,-,37.05,13.1408,41.92
195,Yes,-,-,-,-,0,0,0
197,,-,-,-,-,71.7,13.1408,81.12
199,,-,-,-,-,105.55,13.1408,119.42
202,Yes,-,-,Yes,01-03-2019,0,0,0
203,,-,-,-,-,85.7,13.1408,96.96
206,Yes,-,-,-,-,0,0,0
212,Yes,-,-,Yes,01-03-2019,0,0,0
214,,-,-,-,-,177.2,13.1408,200.49
215,,-,-,-,-,295.3,13.1408,334.11
218,,-,-,-,-,413.3,13.1408,467.61
219,,-,-,-,-,531.65,13.1408,601.51
220,,-,-,-,-,590.7,13.1408,668.32
221,,-,-,-,-,94.05,13.1408,106.41
222,,-,-,-,-,99.1,13.1408,112.12
223,,-,-,-,-,120.55,13.1408,136.39
224,,-,-,-,-,47.5,13.1408,53.74
225,,-,-,-,-,110.3,13.1408,124.79
226,,-,-,-,-,152.25,13.1408,172.26
227,,-,-,-,-,215.05,13.1408,243.31
228,,-,-,-,-,169.8,13.1408,192.11
229,,-,-,-,-,115.4,13.1408,130.56
230,,-,-,-,-,91.45,13.1408,103.47
231,,-,-,-,-,56.3,13.1408,63.7
232,,-,-,-,-,56.3,13.1408,63.7
233,,-,-,-,-,57.65,13.1408,65.23
235,,-,-,-,-,56.5,13.1408,63.92
236,,-,-,-,-,96.75,13.1408,109.46
